Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",7,117.758683132s,117.758318148s,6.882523ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",8,118.210004094s,118.209597486s,6.702895ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",9,118.365978515s,118.365611929s,6.259729ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",10,117.712932877s,117.712582738s,6.342266ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",1,118.24242474s,118.242031072s,6.562731ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",2,118.85275505s,118.852381322s,6.291973ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",3,118.671348866s,118.670961654s,5.801327ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",4,119.607769859s,119.60732063s,5.784687ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",5,117.166428958s,117.166041542s,6.21502ms,1ms,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",6,118.001014177s,118.000549419s,5.929473ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",7,117.545652352s,117.545245141s,6.327971ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",8,119.600507933s,119.600125067s,6.173296ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",9,117.508938145s,117.508431786s,6.615386ms,0ns,493,22156,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",10,118.226364293s,118.225991449s,5.694275ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",1,98.749082159s,98.748772554s,3.77545ms,0ns,66,2512,42246255,0.00%,2344926
