Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use testopen8gb; select similarstring, count(similarstring) as count from testdefopen8gb group by testdefopen8gb.similarstring;",3525.7428451,28.3885343921513,3525.9075887999998,2.6474162,0.1,1.0,148.0,9041708.0,0.0,98091.0
"use testopen8gb; select similarstring, count(similarstring) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.similarstring;",4382.515270000001,54.414930941244286,4382.6908763,2.5837817,0.1,1.0,148.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen8gb group by testdefopen8gb.similarsmallstring;",5560.377716399999,171.48461016095976,5560.5456158,2.6719147,0.1,1.0,63.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'true';use testopen8gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen8gb group by testdefopen8gb.similarsmallstring;",3493.7946782,33.584860446390955,3493.9548588,2.614612,0.0,1.0,63.0,9041708.0,0.0,98091.0
"use testopen8gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.similarsmallstring;",3587.6359070999997,43.63145093407964,3587.8079195,2.5667764,0.0,1.0,63.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen8gb group by testdefopen8gb.normalsmallstring;",25719.385839599996,636.2788966679998,25719.547928600005,2.5914634,0.0,9031449.0,505761144.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'true';use testopen8gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen8gb group by testdefopen8gb.normalsmallstring;",22490.0626349,664.5672974942028,22490.227535699996,2.6287392,0.0,9031449.0,505761144.0,9041708.0,0.0,98091.0
"use testopen8gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.normalsmallstring;",44175.283986400005,965.5851679931886,44175.45620569999,2.6136212999999997,0.0,9031449.0,505761144.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen8gb group by testdefopen8gb.variablelengthstring;",52468.934628400006,2636.4325980458448,52469.0963982,2.6349774000000004,0.0,9041708.0,1582611736.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'true';use testopen8gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen8gb group by testdefopen8gb.variablelengthstring;",47883.0508847,1868.8687170231412,47883.2119678,2.5702875,0.0,9041708.0,1582611736.0,9041708.0,0.0,98091.0
"use testopen8gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.variablelengthstring;",138764.0494249,1697.148963619149,138764.2186958,2.5323563000000004,0.1,9041708.0,1582611736.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select ten, count(ten) as count from testdefopen16gb group by testdefopen16gb.ten;",9797.6748085,93.62466710905719,9797.8363412,2.6694234999999997,0.0,10.0,370.0,18083796.0,0.0,196172.0
