Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount,realquery,size(gb),type,groupmemory(MB),groupbyattribute,aggregate,nc,dp
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen4gb group by wiscondefopen4gb.tenkgroups;",7614.294913,84.99256165224635,7614.5673754,3.0975138,0.0,10000.0,428890.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen4gb group by wiscondefopen4gb.tenkgroups;",4,sort,32,tenkgroups,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen4gb group by wiscondefopen4gb.tenkgroups;",5478.6317439,129.25156982399085,5478.889888,3.2298224000000006,0.0,10000.0,428890.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen4gb group by wiscondefopen4gb.tenkgroups;",4,opt,32,tenkgroups,count,1,1
"use wisconopen4gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.tenkgroups;",5610.7651974,83.72835819452104,5611.026734600001,3.0305352,0.0,10000.0,428890.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select tenkgroups, count(tenkgroups) as count from wiscondefopen4gb  group by wiscondefopen4gb.tenkgroups;",4,hash,32,tenkgroups,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select milliongroups, count(milliongroups) as count from wiscondefopen4gb group by wiscondefopen4gb.milliongroups;",13773.0408699,142.72919152240368,13773.298941799998,3.1021611,0.0,987226.0,45307987.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select milliongroups, count(milliongroups) as count from wiscondefopen4gb group by wiscondefopen4gb.milliongroups;",4,sort,32,milliongroups,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select milliongroups, count(milliongroups) as count from wiscondefopen4gb group by wiscondefopen4gb.milliongroups;",13951.466855899998,153.04791683221686,13951.716447000004,3.0118506,0.0,987226.0,45307987.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select milliongroups, count(milliongroups) as count from wiscondefopen4gb group by wiscondefopen4gb.milliongroups;",4,opt,32,milliongroups,count,1,1
"use wisconopen4gb; select milliongroups, count(milliongroups) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.milliongroups;",20701.5690352,447.9466882778732,20701.8273759,3.0019158,0.0,987226.0,45307987.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select milliongroups, count(milliongroups) as count from wiscondefopen4gb  group by wiscondefopen4gb.milliongroups;",4,hash,32,milliongroups,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select similarstring, count(similarstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarstring;",21924.0423654,210.5791972114643,21924.3005254,3.0923362,0.0,1.0,148.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select similarstring, count(similarstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarstring;",4,sort,32,similarstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select similarstring, count(similarstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarstring;",5614.315546,124.8548216279549,5614.561278800001,2.9486200000000005,0.1,1.0,148.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select similarstring, count(similarstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarstring;",4,opt,32,similarstring,count,1,1
"use wisconopen4gb; select similarstring, count(similarstring) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.similarstring;",7467.391644400001,339.48719224963725,7467.642678699999,2.9436126,0.1,1.0,148.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select similarstring, count(similarstring) as count from wiscondefopen4gb  group by wiscondefopen4gb.similarstring;",4,hash,32,similarstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarsmallstring;",8900.343206900001,194.61776636384005,8900.5909094,2.9316855,0.0,1.0,63.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarsmallstring;",4,sort,32,similarsmallstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarsmallstring;",5686.8166965,187.2612922204413,5687.0663986,2.9441927,0.0,1.0,63.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.similarsmallstring;",4,opt,32,similarsmallstring,count,1,1
"use wisconopen4gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.similarsmallstring;",5750.019013699999,112.71355536783626,5750.2756937,2.8338231,0.0,1.0,63.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen4gb  group by wiscondefopen4gb.similarsmallstring;",4,hash,32,similarsmallstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.normalsmallstring;",29425.6790263,435.5339694376716,29425.9402988,3.0059924,0.0,4515035.0,252841960.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.normalsmallstring;",4,sort,32,normalsmallstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.normalsmallstring;",25966.8007189,286.10920679020035,25967.0586023,2.9143413,0.1,4515035.0,252841960.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen4gb group by wiscondefopen4gb.normalsmallstring;",4,opt,32,normalsmallstring,count,1,1
"use wisconopen4gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.normalsmallstring;",96466.8968682,908.0923945786976,96467.1573547,2.9841242999999995,0.1,4515035.0,252841960.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen4gb  group by wiscondefopen4gb.normalsmallstring;",4,hash,32,normalsmallstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen4gb group by wiscondefopen4gb.variablelengthstring;",46994.3310495,358.5029380613722,46994.584487,2.9440254,0.0,4520789.0,791356748.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen4gb group by wiscondefopen4gb.variablelengthstring;",4,sort,32,variablelengthstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen4gb group by wiscondefopen4gb.variablelengthstring;",42096.6115863,641.7454829044301,42096.8626442,2.9370243,0.1,4520789.0,791356748.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen4gb group by wiscondefopen4gb.variablelengthstring;",4,opt,32,variablelengthstring,count,1,1
"use wisconopen4gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.variablelengthstring;",210736.5592231,1390.8965748527637,210736.8183214,2.8432489,0.0,4520789.0,791356748.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen4gb  group by wiscondefopen4gb.variablelengthstring;",4,hash,32,variablelengthstring,count,1,1
