Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",1,10.742207572s,10.741801571s,4.457117ms,1ms,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",2,10.649346589s,10.649034377s,4.159461ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",3,10.730563704s,10.730261925s,4.244987ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",4,10.719700378s,10.719382901s,4.490859ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",5,10.686665622s,10.686346138s,3.960624ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",6,10.729139049s,10.728773879s,4.427012ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",7,10.745061274s,10.744744133s,4.029529ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",8,10.689011505s,10.688689255s,4.032919ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",9,10.66096801s,10.660665918s,4.312292ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",10,10.716846187s,10.716549864s,4.405548ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",1,2.659118988s,2.658813307s,3.927738ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",2,2.82214281s,2.821704978s,3.946979ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",3,2.690306337s,2.689944827s,4.358641ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",4,2.75633584s,2.756019524s,4.007596ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",5,2.897275517s,2.896961356s,3.923596ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",6,2.692828757s,2.692527616s,3.855127ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",7,2.921478936s,2.921179554s,3.898643ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",8,2.775954303s,2.775649855s,3.768077ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",9,2.662836372s,2.662423061s,3.976432ms,1ms,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb group by testdefopen2gb.similarstring;",10,2.68904386s,2.688718297s,3.680399ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",1,3.553918737s,3.55352151s,4.429908ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",2,3.411384048s,3.411075094s,3.850387ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",3,3.598379165s,3.598054117s,3.875266ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",4,3.38532227s,3.384906346s,3.857682ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",5,3.364882818s,3.364569616s,3.775949ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",6,3.365559262s,3.365008345s,4.655509ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",7,3.538655785s,3.538358858s,3.83174ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",8,3.506299894s,3.506008368s,3.846994ms,1ms,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",9,3.652517341s,3.652225608s,3.909507ms,0ns,1,148,2260380,0.00%,24522
"use testopen2gb; select similarstring, count(similarstring) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.similarstring;",10,3.638559674s,3.638161264s,3.648214ms,0ns,1,148,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb group by testdefopen2gb.similarsmallstring;",1,4.205889884s,4.205492611s,5.104682ms,0ns,1,63,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb group by testdefopen2gb.similarsmallstring;",2,4.314006557s,4.313684069s,3.803482ms,0ns,1,63,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb group by testdefopen2gb.similarsmallstring;",3,4.215656488s,4.215350857s,3.680177ms,0ns,1,63,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen2gb group by testdefopen2gb.similarsmallstring;",4,4.175902306s,4.17561681s,3.885824ms,0ns,1,63,2260380,0.00%,24522
